epoch,train_loss,train_acc,train_macro_f1,val_loss,val_acc,val_macro_f1,val_balanced_acc,epoch_time_s,peak_gpu_mb
1,3.2126164328720836,0.056830512152777776,0.04285509620719664,2.9822929790927373,0.11132012092710783,0.07560917641211799,0.16588326431955766,73.29,15941.4
2,2.9136123996641903,0.08888075086805555,0.07127886652665527,2.6771754184744685,0.1509573396036278,0.12677517971344884,0.23584337841405464,69.38,15941.4
3,2.7599675928552947,0.11219618055555555,0.0866088084314497,2.6314500145116106,0.17420221699697683,0.142106223996237,0.27772621227606403,69.55,15941.4
4,2.6441490236255856,0.12599012586805555,0.10298704805222048,2.565234700697238,0.17064158548874706,0.15020705794658568,0.2821194156865281,70.19,15941.4
5,2.5977963254683547,0.13859049479166666,0.1120885879609691,2.4890711933164176,0.17561303325495464,0.1783530200945198,0.3242336336472257,70.03,15941.4
6,2.5225903160042233,0.15185546875,0.12422703155463376,2.3347830469671575,0.2098757138058448,0.19291895652600666,0.3037862243743829,69.61,15941.4
7,2.4896176896161504,0.1577690972222222,0.12685558670243502,2.265802267040628,0.21592206919717838,0.22452122330043595,0.34501440826324065,69.45,15941.4
8,2.4198231800562806,0.1704372829861111,0.14030035948908184,2.3249535709729643,0.25085656701377224,0.24248791872617606,0.38143302444130156,69.63,15941.4
9,2.378102214386066,0.18336317274305555,0.14624086126932692,2.3402980566425216,0.23627813234800135,0.28175260212458936,0.37350258001879144,69.73,15941.4
10,2.318010742051734,0.19966634114583334,0.15958635056242657,2.1372529117461214,0.27074235807860264,0.2834831611010668,0.40251725364572827,69.6,15941.4
11,2.239109135336346,0.2161865234375,0.1717309153967163,1.9996564238833068,0.3207927443735304,0.30502830753882215,0.43982519053858943,69.18,15941.4
12,2.1595213210417166,0.23225911458333334,0.18827733958635215,1.9997066693695191,0.3383271750083977,0.3278721559106012,0.4639576123105933,68.99,15941.4
13,2.130735953234964,0.24922688802083334,0.1927780889843242,1.7749543480077044,0.4016795431642593,0.38542866233572237,0.5007877399792979,69.36,15941.4
14,2.0678407272530928,0.2634548611111111,0.20901917657259936,1.8271752495072133,0.3764192139737991,0.3726311917424246,0.5252598767782923,69.52,15941.4
15,2.015784409311083,0.2849663628472222,0.22089868304809562,1.7999596388819716,0.3873698354047699,0.3775237410765652,0.5037495338272623,69.5,15941.4
16,1.960455438329114,0.2939724392361111,0.2297784745430797,1.6641252220898297,0.427208599261001,0.39617850162402335,0.5229450710660689,68.95,15941.4
17,1.916743019802703,0.3133680555555556,0.24325374934993407,1.7310834790301235,0.40947262344642255,0.4021468223381809,0.5415470895314355,69.57,15941.4
18,1.8685080007546477,0.3235677083333333,0.2547038768096125,1.6704478268339844,0.42431978501847495,0.4571245549894757,0.5896614445252838,68.9,15941.4
19,1.795398407926162,0.3436143663194444,0.27033604412564904,1.6002161801882466,0.4777292576419214,0.45875074776259145,0.5790953547037497,69.22,15941.4
20,1.7449901377161343,0.3556586371527778,0.28431612406456735,1.6759851071912248,0.4307020490426604,0.44208670172756537,0.5833250975540591,69.31,15941.4
21,1.7075071897771623,0.3666178385416667,0.2945569523207741,1.6297614077733673,0.42714141753443063,0.43881080735136685,0.583042173331585,69.5,15941.4
22,1.6704500176840358,0.3750678168402778,0.30283317612315275,1.502585873749579,0.4871346993617736,0.504577225028177,0.6340162982774534,69.01,15941.4
23,1.6421499790416823,0.3899197048611111,0.3137484107505524,1.4632484497061342,0.5224051058112194,0.5063823102849642,0.6406024629479005,69.0,15941.4
24,1.5979021593100495,0.3998752170138889,0.32222915368651284,1.474256968089787,0.5015115888478334,0.5178086950458095,0.6621745673855733,68.87,15941.4
25,1.5760410295592413,0.4121229383680556,0.333624622557508,1.51508012738931,0.4673160900235136,0.4566207426547386,0.6080755952266336,68.94,15941.4
26,1.5326983316077127,0.4214002821180556,0.34231039511114897,1.4531430904361518,0.49271078266711454,0.5144654530861932,0.6445260839662845,68.78,15941.4
27,1.5086474878092606,0.4369303385416667,0.35721573425833236,1.3734292981125662,0.5269062814914344,0.534656945352207,0.6781155415312142,68.94,15941.4
28,1.4716120616843302,0.4433051215277778,0.3610466567106599,1.3147728210253167,0.5536446086664427,0.5719737482822348,0.6764594988271483,68.81,15941.4
29,1.45909287677043,0.4537353515625,0.3708848527634551,1.3640328849527232,0.5250251931474639,0.5340919535644547,0.682405848962027,68.85,15941.4
30,1.4147365879681375,0.4607340494791667,0.38056972479564244,1.3205670702405372,0.5329526368827678,0.5302840100886761,0.6410782080418094,68.87,15941.4
31,1.3889337968495157,0.4694146050347222,0.3818554087055026,1.2986316057351919,0.5357742693987235,0.5505100749783247,0.6968788283414153,68.91,15941.4
32,1.3635484104355176,0.4818522135416667,0.39670677091888945,1.199890910982485,0.58018139066174,0.5624493427036384,0.6949594014456179,69.03,15941.4
